time_s,force_x_N,force_y_N,force_z_N
0.0,-0.8111433977877062,-5.423781492060771,0.0
0.001,-0.6788227292464442,-5.2204453189979185,0.0
0.002,-0.544094400628107,-4.947496092577527,0.0
0.003,-0.4106646308884148,-4.621295178603303,0.0
0.004,-0.278780167804804,-4.245811350955819,0.0
0.005,-0.14852967296252859,-3.8228011922767715,0.0
0.006,-0.019878319325509763,-3.352213050328864,0.0
0.007,0.10729848683240684,-2.8325923127259838,0.0
0.008,0.18828668818995595,-2.4586438624127473,0.0
0.009000000000000001,0.18131672956132813,-2.4528983422996107,0.0
0.010000000000000002,0.1746897597684327,-2.447524536729511,0.0
0.011000000000000003,0.16841616050775787,-2.442527764490018,0.0
0.012000000000000004,0.16250784688294123,-2.437891826223529,0.0
0.013000000000000005,0.15697780893435634,-2.433583003505771,0.0
0.014000000000000005,0.15183967669895157,-2.4295538690219955,0.0
0.015000000000000006,0.1471073093969303,-2.4257469044338182,0.0
0.016000000000000007,0.29552938223833414,-1.7570235225387785,0.0
0.017000000000000008,0.2888569259079357,-1.7655785399646304,0.0
0.01800000000000001,0.2827245792485331,-1.7737111356005264,0.0
0.01900000000000001,0.2771366767394964,-1.7813806666359482,0.0
0.02000000000000001,0.2720964597612108,-1.7885508310465705,0.0
0.02100000000000001,0.26760596965566963,-1.7951916082114283,0.0
0.022000000000000013,0.2636659543955358,-1.80128103474364,0.0
0.023000000000000013,0.26027578896089454,-1.8068068133787902,0.0
0.024000000000000014,0.2574334094998617,-1.8117677518919444,0.0
0.025000000000000015,0.2551352613158832,-1.8161750280580238,0.0
0.026000000000000016,0.2533762606996659,-1.8200532756666177,0.0
0.027000000000000017,0.252149770594537,-1.8234414856254335,0.0
0.028000000000000018,0.2514475900495478,-1.8263937153247207,0.0
0.02900000000000002,0.25125995738101514,-1.8289795986831807,0.0
0.03000000000000002,0.25157556692714705,-1.8312846489197985,0.0
0.03100000000000002,0.25238159923013637,-1.8334103459459161,0.0
0.03200000000000002,0.25366376442978006,-1.8354740005538104,0.0
0.03300000000000002,-0.02558774235045799,-1.099882838230667,0.0
0.03400000000000002,0.0,0.0,0.0
0.035000000000000024,0.0,0.0,0.0
0.036000000000000025,0.0,0.0,0.0
0.037000000000000026,0.0,0.0,0.0
0.03800000000000003,0.0,0.0,0.0
0.03900000000000003,0.0,0.0,0.0
0.04000000000000003,0.0,0.0,0.0
0.04100000000000003,0.0,0.0,0.0
0.04200000000000003,0.0,0.0,0.0
0.04300000000000003,0.0,0.0,0.0
0.04400000000000003,0.0,0.0,0.0
0.04500000000000003,0.0,0.0,0.0
0.046000000000000034,0.0,0.0,0.0
0.047000000000000035,0.0,0.0,0.0
0.048000000000000036,0.0,0.0,0.0
0.04900000000000004,0.0,0.0,0.0
0.05000000000000004,0.0,0.0,0.0
0.05100000000000004,0.0,0.0,0.0
0.05200000000000004,0.0,0.0,0.0
0.05300000000000004,0.0,0.0,0.0
0.05400000000000004,0.0,0.0,0.0
0.05500000000000004,0.0,0.0,0.0
0.05600000000000004,0.0,0.0,0.0
0.057000000000000044,0.0,0.0,0.0
0.058000000000000045,0.0,0.0,0.0
0.059000000000000045,0.0,0.0,0.0
0.060000000000000046,0.0,0.0,0.0
0.06100000000000005,0.0,0.0,0.0
0.06200000000000005,0.0,0.0,0.0
0.06300000000000004,0.0,0.0,0.0
0.06400000000000004,0.0,0.0,0.0
0.06500000000000004,0.0,0.0,0.0
0.06600000000000004,0.0,0.0,0.0
0.06700000000000005,0.0,0.0,0.0
0.06800000000000005,0.0,0.0,0.0
0.06900000000000005,0.0,0.0,0.0
0.07000000000000005,0.0,0.0,0.0
0.07100000000000005,0.0,0.0,0.0
0.07200000000000005,0.0,0.0,0.0
0.07300000000000005,0.0,0.0,0.0
0.07400000000000005,0.0,0.0,0.0
0.07500000000000005,0.0,0.0,0.0
0.07600000000000005,0.0,0.0,0.0
0.07700000000000005,0.0,0.0,0.0
0.07800000000000006,0.0,0.0,0.0
0.07900000000000006,0.0,0.0,0.0
0.08000000000000006,0.0,0.0,0.0
0.08100000000000006,0.0,0.0,0.0
0.08200000000000006,0.0,0.0,0.0
0.08300000000000006,0.0,0.0,0.0
0.08400000000000006,0.0,0.0,0.0
0.08500000000000006,0.0,0.0,0.0
0.08600000000000006,0.0,0.0,0.0
0.08700000000000006,0.0,0.0,0.0
0.08800000000000006,0.0,0.0,0.0
0.08900000000000007,0.0,0.0,0.0
0.09000000000000007,0.0,0.0,0.0
0.09100000000000007,0.0,0.0,0.0
0.09200000000000007,0.0,0.0,0.0
0.09300000000000007,0.0,0.0,0.0
0.09400000000000007,0.0,0.0,0.0
0.09500000000000007,0.0,0.0,0.0
0.09600000000000007,0.0,0.0,0.0
0.09700000000000007,0.0,0.0,0.0
