time_s,desired_vx_m_s,actual_com_vx_m_s
0.0,0.0,0.0001389787337032246
0.001,0.0,0.0001380415047001443
0.002,0.0,0.00013711062823367902
0.003,0.0,0.00013618606456466446
0.004,0.0,0.00013526777416142217
0.005,0.0,0.00013435571746233898
0.006,0.0,0.00013344985467237796
0.007,0.0,0.00013255014559098078
0.008,0.0,0.0001316565494694463
0.009000000000000001,0.0,0.00013076902489622883
0.010000000000000002,0.0,0.00012988752970680156
0.011000000000000003,0.0,0.00012901202091871497
0.012000000000000004,0.0,0.0001281424546873981
0.013000000000000005,0.0,0.00012727878628385173
0.014000000000000005,0.0,0.00012642097008944923
0.015000000000000006,0.0,0.00012556895960887904
0.016000000000000007,0.0,0.00012472270749906534
0.017000000000000008,0.0,0.0001238821656116689
0.01800000000000001,0.0,0.00012304728504793674
0.01900000000000001,0.0,0.00012221801622621877
0.02000000000000001,0.0,0.00012139430895895999
0.02100000000000001,0.0,0.00012057611253792218
0.022000000000000013,0.0,0.00011976337582831304
0.023000000000000013,0.0,0.00011895604736835118
0.024000000000000014,0.0,0.00011815407547464522
0.025000000000000015,0.0,0.00011735740835194943
0.026000000000000016,0.0,0.00011656599420583305
0.027000000000000017,0.0,0.00011577978135753812
0.028000000000000018,0.0,0.00011499871836137742
0.02900000000000002,0.0,0.00011422275412072191
0.03000000000000002,0.0,0.00011345183800510081
0.03100000000000002,0.0,0.00011268591996506976
0.03200000000000002,0.0,0.0001119249506457437
0.03300000000000002,0.0,0.00011116888149718384
0.03400000000000002,0.0,0.00011041766488101371
0.035000000000000024,0.0,0.00010967125417335208
0.036000000000000025,0.0,0.00010892960386280355
0.037000000000000026,0.0,0.00010819266964210205
0.03800000000000003,0.0,0.00010746040849527312
0.03900000000000003,0.0,0.00010673277877630087
0.04000000000000003,0.0,0.0001060097402823266
0.04100000000000003,0.0,0.00010529125431806912
0.04200000000000003,0.0,0.0001045772837530802
0.04300000000000003,0.0,0.00010386779306997793
0.04400000000000003,0.0,0.00010316274840462354
0.04500000000000003,0.0,0.00010246211757653137
0.046000000000000034,0.0,0.00010176587011125473
0.047000000000000035,0.0,0.00010107397725197941
0.048000000000000036,0.0,0.00010038641196354045
0.04900000000000004,0.0,9.970314892573946e-05
0.05000000000000004,0.0,9.902416451714536e-05
0.05100000000000004,0.0,9.834943679129191e-05
0.05200000000000004,0.0,9.767894544151109e-05
0.05300000000000004,0.0,9.701267175878698e-05
0.05400000000000004,0.0,9.635059858026157e-05
0.05500000000000004,0.0,9.56927102290902e-05
0.05600000000000004,0.0,9.503899244765763e-05
0.057000000000000044,0.0,9.438943232206727e-05
0.058000000000000045,0.0,9.374401820119802e-05
0.059000000000000045,0.0,9.310273960801294e-05
0.060000000000000046,0.0,9.246558714662868e-05
0.06100000000000005,0.0,9.183255240312611e-05
0.06200000000000005,0.0,9.120362784259374e-05
0.06300000000000004,0.0,9.057880670273953e-05
0.06400000000000004,0.0,8.995808288320175e-05
0.06500000000000004,0.0,8.934145083479401e-05
0.06600000000000004,0.0,8.872890544509529e-05
0.06700000000000005,0.0,8.812044192464989e-05
0.06800000000000005,0.0,8.751605569245944e-05
0.06900000000000005,0.0,8.691574226257277e-05
0.07000000000000005,0.0,8.631949713190232e-05
0.07100000000000005,0.0,8.572731567014556e-05
0.07200000000000005,0.0,8.513919301314836e-05
0.07300000000000005,0.0,8.455512395867317e-05
0.07400000000000005,0.0,8.397510286704547e-05
0.07500000000000005,0.0,8.339912356639025e-05
0.07600000000000005,0.0,8.282717926311543e-05
0.07700000000000005,0.0,8.225926245795214e-05
0.07800000000000006,0.0,8.169536486794468e-05
0.07900000000000006,0.0,8.113547735626971e-05
0.08000000000000006,0.0,8.057958986730195e-05
0.08100000000000006,0.0,8.00276913702314e-05
0.08200000000000006,0.0,7.947976980964316e-05
0.08300000000000006,0.0,7.893581206390375e-05
0.08400000000000006,0.0,7.839580391155446e-05
0.08500000000000006,0.0,7.785973000479954e-05
0.08600000000000006,0.0,7.732757385245372e-05
0.08700000000000006,0.0,7.67993178089084e-05
0.08800000000000006,0.0,7.627494307252809e-05
0.08900000000000007,0.0,7.575442969043245e-05
0.09000000000000007,0.0,7.52377565714632e-05
0.09100000000000007,0.0,7.472490150589944e-05
0.09200000000000007,0.0,7.421584119197214e-05
0.09300000000000007,0.0,7.37105512697955e-05
0.09400000000000007,0.0,7.320900635950568e-05
0.09500000000000007,0.0,7.271118010712946e-05
0.09600000000000007,0.0,7.221704523448199e-05
0.09700000000000007,0.0,7.172657359410284e-05
0.09800000000000007,0.0,7.123973622801883e-05
0.09900000000000007,0.0,7.075650343093839e-05
0.10000000000000007,0.0,7.027684481575986e-05
0.10100000000000008,0.0,6.980072938205932e-05
0.10200000000000008,0.0,6.932812558617586e-05
0.10300000000000008,0.0,6.885900141300667e-05
0.10400000000000008,0.0,6.839332444829388e-05
0.10500000000000008,0.0,6.793106195141691e-05
0.10600000000000008,0.0,6.747218092789961e-05
0.10700000000000008,0.0,6.701664820059972e-05
0.10800000000000008,0.0,6.65644304799005e-05
0.10900000000000008,0.0,6.611549443241439e-05
0.11000000000000008,0.0,6.566980674689624e-05
0.11100000000000008,0.0,6.522733419773668e-05
0.11200000000000009,0.0,6.47880437055781e-05
0.11300000000000009,0.0,6.435190239430283e-05
0.11400000000000009,0.0,6.391887764477354e-05
0.11500000000000009,0.0,6.348893714473653e-05
0.11600000000000009,0.0,6.306204893443257e-05
0.11700000000000009,0.0,6.263818144862992e-05
0.11800000000000009,0.0,6.221730355391852e-05
0.11900000000000009,0.0,6.179938458265778e-05
0.12000000000000009,0.0,6.138439436165282e-05
0.1210000000000001,0.0,6.097230323792514e-05
0.1220000000000001,0.0,6.056308209979688e-05
0.1230000000000001,0.0,6.015670239436723e-05
0.1240000000000001,0.0,5.975313614145872e-05
0.12500000000000008,0.0,5.935235594423283e-05
0.12600000000000008,0.0,5.895433499623307e-05
0.12700000000000009,0.0,5.855904708619344e-05
0.12800000000000009,0.0,5.8166466599346236e-05
0.1290000000000001,0.0,5.777656851722771e-05
0.1300000000000001,0.0,5.7389328414696746e-05
0.1310000000000001,0.0,5.700472245565779e-05
0.1320000000000001,0.0,5.6622727386242595e-05
0.1330000000000001,0.0,5.6243320527551356e-05
0.1340000000000001,0.0,5.5866479766092614e-05
0.1350000000000001,0.0,5.5492183543776853e-05
0.1360000000000001,0.0,5.5120410846330603e-05
0.1370000000000001,0.0,5.475114119056321e-05
0.1380000000000001,0.0,5.4384354610027885e-05
0.1390000000000001,0.0,5.402003164025195e-05
0.1400000000000001,0.0,5.3658153301285986e-05
0.1410000000000001,0.0,5.329870107896546e-05
0.1420000000000001,0.0,5.2941656903398986e-05
0.1430000000000001,0.0,5.258700312558433e-05
0.1440000000000001,0.0,5.2234722489369447e-05
0.1450000000000001,0.0,5.188479810117556e-05
0.1460000000000001,0.0,5.153721339398139e-05
0.1470000000000001,0.0,5.1191952086845234e-05
0.1480000000000001,0.0,5.084899813828821e-05
0.1490000000000001,0.0,5.0508335693458686e-05
0.1500000000000001,0.0,5.016994902316285e-05
0.1510000000000001,0.0,4.983382245554919e-05
0.1520000000000001,0.0,4.9499940503532335e-05
0.1530000000000001,0.0,4.9168288156716805e-05
0.1540000000000001,0.0,4.883885078217666e-05
0.1550000000000001,0.0,4.85116138629175e-05
0.1560000000000001,0.0,4.818656292638647e-05
0.1570000000000001,0.0,4.7863683483363614e-05
0.1580000000000001,0.0,4.754296097573675e-05
0.1590000000000001,0.0,4.7224380733775637e-05
0.16000000000000011,0.0,4.6907927940122985e-05
0.16100000000000012,0.0,4.659358760066965e-05
0.16200000000000012,0.0,4.628134452086765e-05
0.16300000000000012,0.0,4.5971183286674064e-05
0.16400000000000012,0.0,4.5663088249675837e-05
0.16500000000000012,0.0,4.535704351519267e-05
0.16600000000000012,0.0,4.5053032933008504e-05
0.16700000000000012,0.0,4.4751040090276414e-05
0.16800000000000012,0.0,4.445104830578711e-05
0.16900000000000012,0.0,4.4153040626178856e-05
0.17000000000000012,0.0,4.385699982258128e-05
