time_s,desired_vy_m_s,actual_com_vy_m_s
0.0,0.0,0.25014709555072145
0.001,0.0,0.2479440333111959
0.002,0.0,0.2457524923605365
0.003,0.0,0.2435723700924474
0.004,0.0,0.2414035644829435
0.005,0.0,0.2392459740861766
0.006,0.0,0.2370994980299274
0.007,0.0,0.23496403601078733
0.008,0.0,0.2328394882890721
0.009000000000000001,0.0,0.23072575568349415
0.010000000000000002,0.0,0.22862273956562032
0.011000000000000003,0.0,0.22653034185414378
0.012000000000000004,0.0,0.22444846500899607
0.013000000000000005,0.0,0.22237701202532073
0.014000000000000005,0.0,0.22031588642733135
0.015000000000000006,0.0,0.21826499226207774
0.016000000000000007,0.0,0.21622423409313526
0.017000000000000008,0.0,0.21419351699423833
0.01800000000000001,0.0,0.2121727465428792
0.01900000000000001,0.0,0.21016182881388004
0.02000000000000001,0.0,0.2081606703729623
0.02100000000000001,0.0,0.2061691782703236
0.022000000000000013,0.0,0.20418726003423412
0.023000000000000013,0.0,0.20221482366467095
0.024000000000000014,0.0,0.2002517776269948
0.025000000000000015,0.0,0.19829803084568573
0.026000000000000016,0.0,0.1963534926981431
0.027000000000000017,0.0,0.19441807300856132
0.028000000000000018,0.0,0.19249168204188916
0.02900000000000002,0.0,0.19057423049787803
0.03000000000000002,0.0,0.18866562950522534
0.03100000000000002,0.0,0.18676579061581938
0.03200000000000002,0.0,0.18487462579908945
0.03300000000000002,0.0,0.18299204743646477
0.03400000000000002,0.0,0.18111796831594254
0.035000000000000024,0.0,0.1792523016267702
0.036000000000000025,0.0,0.1773949609542405
0.037000000000000026,0.0,0.17554586027460134
0.03800000000000003,0.0,0.17370491395007726
0.03900000000000003,0.0,0.1718720367240035
0.04000000000000003,0.0,0.17004714371607182
0.04100000000000003,0.0,0.16823015041768283
0.04200000000000003,0.0,0.16642097268740355
0.04300000000000003,0.0,0.16461952674652833
0.04400000000000003,0.0,0.16282572917473748
0.04500000000000003,0.0,0.16103949690585123
0.046000000000000034,0.0,0.1592607472236724
0.047000000000000035,0.0,0.15748939775791765
0.048000000000000036,0.0,0.15572536648022928
0.04900000000000004,0.0,0.1539685717002641
0.05000000000000004,0.0,0.15221893206185355
0.05100000000000004,0.0,0.150476366539234
0.05200000000000004,0.0,0.14874079443333874
0.05300000000000004,0.0,0.1470121353681464
0.05400000000000004,0.0,0.1452903092870877
0.05500000000000004,0.0,0.14357523644949763
0.05600000000000004,0.0,0.14186683742711445
0.057000000000000044,0.0,0.14016503310062145
0.058000000000000045,0.0,0.1384697446562227
0.059000000000000045,0.0,0.1367808935822554
0.060000000000000046,0.0,0.1350984016658308
0.06100000000000005,0.0,0.13342219098950245
0.06200000000000005,0.0,0.13175218392795843
0.06300000000000004,0.0,0.13008830314473296
0.06400000000000004,0.0,0.12843047158893983
0.06500000000000004,0.0,0.1267786124920173
0.06600000000000004,0.0,0.1251326493644895
0.06700000000000005,0.0,0.12349250599273898
0.06800000000000005,0.0,0.12185810643578805
0.06900000000000005,0.0,0.1202293750220888
0.07000000000000005,0.0,0.11860623634631992
0.07100000000000005,0.0,0.11698861526618784
0.07200000000000005,0.0,0.11537643689923309
0.07300000000000005,0.0,0.11376962661963821
0.07400000000000005,0.0,0.1121681100550379
0.07500000000000005,0.0,0.11057181308333162
0.07600000000000005,0.0,0.10898066182949487
0.07700000000000005,0.0,0.1073945826623901
0.07800000000000006,0.0,0.10581350219157852
0.07900000000000006,0.0,0.10423734726412806
0.08000000000000006,0.0,0.10266604496142251
0.08100000000000006,0.0,0.10109952259596482
0.08200000000000006,0.0,0.0995377077081805
0.08300000000000006,0.0,0.09798052806321746
0.08400000000000006,0.0,0.09642791164774234
0.08500000000000006,0.0,0.09487978666673318
0.08600000000000006,0.0,0.09333608154026893
0.08700000000000006,0.0,0.09179672490031673
0.08800000000000006,0.0,0.09026164558751089
0.08900000000000007,0.0,0.08873077264793272
0.09000000000000007,0.0,0.08720403532988297
0.09100000000000007,0.0,0.08568136308065058
0.09200000000000007,0.0,0.08416268554327727
0.09300000000000007,0.0,0.08264793255331784
0.09400000000000007,0.0,0.08113703413559482
0.09500000000000007,0.0,0.07962992050094869
0.09600000000000007,0.0,0.07812652204298484
0.09700000000000007,0.0,0.07662676933481259
0.09800000000000007,0.0,0.07513059312578285
0.09900000000000007,0.0,0.0736379243382186
0.10000000000000007,0.0,0.07214869406414226
0.10100000000000008,0.0,0.07066283356199655
0.10200000000000008,0.0,0.06918027425336319
0.10300000000000008,0.0,0.06770094771967544
0.10400000000000008,0.0,0.06622478569892701
0.10500000000000008,0.0,0.06475172008237741
0.10600000000000008,0.0,0.06328168291125327
0.10700000000000008,0.0,0.06181460637344664
0.10800000000000008,0.0,0.0603504228002096
0.10900000000000008,0.0,0.058889064662848205
0.11000000000000008,0.0,0.05743046456941209
0.11100000000000008,0.0,0.055974555261385464
0.11200000000000009,0.0,0.05452126961037418
0.11300000000000009,0.0,0.05307054061479647
0.11400000000000009,0.0,0.051622301396571056
0.11500000000000009,0.0,0.050176485197809526
