time_s,right_foot_z_m
0.0,0.002720582562925705
0.001,0.002720836702160702
0.002,0.0027212580166909167
0.003,0.0027221914614653023
0.004,0.0027239678544802096
0.005,0.0027269040788874196
0.006,0.0027313032839644535
0.007,0.002737455085010221
0.008,0.0027456357622256122
0.009000000000000001,0.0027561084586345402
0.010000000000000002,0.0027691233770991627
0.011000000000000003,0.0027849179764816573
0.012000000000000004,0.002803717167003325
0.013000000000000005,0.0028257335048511092
0.014000000000000005,0.0028511673860822373
0.015000000000000006,0.002880207239876781
0.016000000000000007,0.0029130297211881484
0.017000000000000008,0.002949799902842283
0.01800000000000001,0.002990671467136441
0.01900000000000001,0.0030357868969884613
0.02000000000000001,0.0030852776666875775
0.02100000000000001,0.0031392644322980473
0.022000000000000013,0.0031978572217666937
0.023000000000000013,0.003261155624784136
0.024000000000000014,0.0033292489824503155
0.025000000000000015,0.0034022165767919124
0.026000000000000016,0.003480127820179757
0.027000000000000017,0.0035630424446913903
0.028000000000000018,0.0036510106914623003
0.02900000000000002,0.0037440735000671757
0.03000000000000002,0.003842262697970125
0.03100000000000002,0.003945601190079216
0.03200000000000002,0.0040541031484385495
0.03300000000000002,0.004167774202087013
0.03400000000000002,0.004286611627109797
0.035000000000000024,0.004410604536905331
0.036000000000000025,0.004539734072686187
0.037000000000000026,0.00467397359422924
0.03800000000000003,0.004813288870886445
0.03900000000000003,0.004957638272864488
0.04000000000000003,0.005106972962777012
0.04100000000000003,0.005261237087471261
0.04200000000000003,0.005420367970125663
0.04300000000000003,0.005584296302614769
0.04400000000000003,0.005752946338132343
0.04500000000000003,0.0059262360840620365
0.046000000000000034,0.0061040774950839455
0.047000000000000035,0.006286376666500705
0.048000000000000036,0.006473034027767978
0.04900000000000004,0.006663944536210491
0.05000000000000004,0.006858997870904757
0.05100000000000004,0.007058078626708923
0.05200000000000004,0.007261066508418387
0.05300000000000004,0.007467836525026902
0.05400000000000004,0.007678259184072243
0.05500000000000004,0.00789220068604437
0.05600000000000004,0.008109523118837843
0.057000000000000044,0.008330084652225095
0.058000000000000045,0.008553739732334503
0.059000000000000045,0.00878033927611184
0.060000000000000046,0.009009730865750028
0.06100000000000005,0.009241758943067446
0.06200000000000005,0.009476265003822565
0.06300000000000004,0.009713087791947302
0.06400000000000004,0.009952063493688344
0.06500000000000004,0.010193025931642986
0.06600000000000004,0.01043580675867923
0.06700000000000005,0.010680235651730256
0.06800000000000005,0.01092614050545579
0.06900000000000005,0.011173347625761755
0.07000000000000005,0.011421681923173471
0.07100000000000005,0.011670967106057126
0.07200000000000005,0.011921025873685286
0.07300000000000005,0.012171680109143573
0.07400000000000005,0.012422751072077666
0.07500000000000005,0.012674059591278021
0.07600000000000005,0.012925426257102766
0.07700000000000005,0.013176671613739796
0.07800000000000006,0.013427616351307972
0.07900000000000006,0.013678081497800566
0.08000000000000006,0.01392788861087222
0.08100000000000006,0.014176859969472752
0.08200000000000006,0.014424818765330825
0.08300000000000006,0.014671589294291479
0.08400000000000006,0.014916997147510873
0.08500000000000006,0.015160869402512767
0.08600000000000006,0.015403034814111337
0.08700000000000006,0.01564332400520469
0.08800000000000006,0.015881569657443223
0.08900000000000007,0.016117606701779273
0.09000000000000007,0.01635127250890083
0.09100000000000007,0.016582407079556
0.09200000000000007,0.016810853234772154
0.09300000000000007,0.017036456805974723
0.09400000000000007,0.017259066825010945
0.09500000000000007,0.01747853571408272
0.09600000000000007,0.01769471947559354
0.09700000000000007,0.017907477881914435
0.09800000000000007,0.01811667466507249
0.09900000000000007,0.018322177706367133
0.10000000000000007,0.018523859225917927
0.10100000000000008,0.018721595972148113
0.10200000000000008,0.018915269411208177
0.10300000000000008,0.019104765916342088
0.10400000000000008,0.019289976957201527
0.10500000000000008,0.01947079928911051
0.10600000000000008,0.019647135142283917
0.10700000000000008,0.019818892411003604
0.10800000000000008,0.01998598484275537
0.10900000000000008,0.020148332227329348
0.11000000000000008,0.02030586058588703
0.11100000000000008,0.020458502359998063
0.11200000000000009,0.02060619660064987
0.11300000000000009,0.020748889157232185
0.11400000000000009,0.020886532866500267
0.11500000000000009,0.021019087741518852
0.11600000000000009,0.021146521160590376
0.11700000000000009,0.021268808056170346
0.11800000000000009,0.021385931103772154
0.11900000000000009,0.021497880910866032
0.12000000000000009,0.021604656205773627
0.1210000000000001,0.021706264026563532
0.1220000000000001,0.021802719909950655
0.1230000000000001,0.021894048080203087
0.1240000000000001,0.02198028163806221
0.12500000000000008,0.022061462749679746
0.12600000000000008,0.022137642835577308
0.12700000000000009,0.02220888275963378
0.12800000000000009,0.02227525301810812
0.1290000000000001,0.02233683392870192
0.1300000000000001,0.02239371581967211
0.1310000000000001,0.02244599921899875
0.1320000000000001,0.022493795043620084
0.1330000000000001,0.022537224788741296
0.1340000000000001,0.02257642071723022
0.1350000000000001,0.022611526049109508
0.1360000000000001,0.022642695151158534
0.1370000000000001,0.02267009372663803
0.1380000000000001,0.02269389900515246
0.1390000000000001,0.022714299932664356
0.1400000000000001,0.022731497361678593
0.1410000000000001,0.02274570424161338
0.1420000000000001,0.0227571458093763
0.1430000000000001,0.02276605978016672
0.1440000000000001,0.022772696538523693
0.1450000000000001,0.022777319329642276
0.1460000000000001,0.02278020445098035
0.1470000000000001,0.022781641444179886
0.1480000000000001,0.022781933287326563
0.1490000000000001,0.022781396587572125
0.1500000000000001,0.022780361774145053
0.1510000000000001,0.022779173291773314
0.1520000000000001,0.022778008488936526
0.1530000000000001,0.022776686718067936
0.1540000000000001,0.022774855703476503
0.1550000000000001,0.0227721777097118
0.1560000000000001,0.022768329342506777
0.1570000000000001,0.02276300134927705
0.1580000000000001,0.022755898419219135
0.1590000000000001,0.02274673898305162
0.16000000000000011,0.022735255012438345
0.16100000000000012,0.022721191819132076
0.16200000000000012,0.022704307853876733
0.16300000000000012,0.022684374505101565
0.16400000000000012,0.022661175897441002
0.16500000000000012,0.022634508690108822
0.16600000000000012,0.022604181875157538
0.16700000000000012,0.022570016575646633
0.16800000000000012,0.022531845843745277
0.16900000000000012,0.022489514458791396
0.17000000000000012,0.022442878725326354
0.17100000000000012,0.022391806271124554
0.17200000000000013,0.022336175845233855
0.17300000000000013,0.022275877116041613
0.17400000000000013,0.0222108104693797
0.17500000000000013,0.022140886806680388
0.17600000000000013,0.0220660273431927
0.17700000000000013,0.021986163406269715
0.17800000000000013,0.021901236233733197
0.17900000000000013,0.021811196772323502
0.18000000000000013,0.02171600547624042
0.18100000000000013,0.02161563210577934
0.18200000000000013,0.021510055526068272
0.18300000000000013,0.02139926350590758
0.18400000000000014,0.021283252516717033
0.18500000000000014,0.02116202753159107
0.18600000000000014,0.02103560182446526
0.18700000000000014,0.020903996769394306
0.18800000000000014,0.020767241639944145
0.18900000000000014,0.020625373408697405
0.19000000000000014,0.020478436546873723
0.19100000000000014,0.02032648282406508
0.19200000000000014,0.020169571108086183
0.19300000000000014,0.020007767164940418
0.19400000000000014,0.019841143458900423
0.19500000000000015,0.01966977895270424
0.19600000000000015,0.019493758907866893
0.19700000000000015,0.019313174685106023
0.19800000000000015,0.01912812354488315
0.19900000000000015,0.018938708448059616
0.20000000000000015,0.018745037856667375
0.20100000000000015,0.018547225534794487
0.20200000000000015,0.018345390349586044
0.20300000000000015,0.018139656072359935
0.20400000000000015,0.01793015117983844
0.20500000000000015,0.017717008655495255
0.20600000000000016,0.017500365791019067
0.20700000000000016,0.017280363987893857
0.20800000000000016,0.017057148559096243
0.20900000000000016,0.016830868530910564
0.21000000000000016,0.016601676444862948
0.21100000000000016,0.016369728159773965
0.21200000000000016,0.01613518265393122
0.21300000000000016,0.01589820182738263
0.21400000000000016,0.01565895030435037
0.21500000000000016,0.015417595235766884
0.21600000000000016,0.015174306101932898
0.21700000000000016,0.014929254515297995
0.21800000000000017,0.014682614023364307
0.21900000000000017,0.014434559911713211
0.22000000000000017,0.014185269007154562
0.22100000000000017,0.013934919480999862
0.22200000000000017,0.013683690652456178
0.22300000000000017,0.013431762792142574
0.22400000000000017,0.013179316925726547
0.22500000000000017,0.012926534637678642
0.22600000000000017,0.012673597875144674
0.22700000000000017,0.012420688751931808
0.22800000000000017,0.012167989352606066
0.22900000000000018,0.01191568153669819
0.23000000000000018,0.01166394674301307
0.23100000000000018,0.011412965794038367
0.23200000000000018,0.011162918700447257
0.23300000000000018,0.010913984465688566
0.23400000000000018,0.0106663408906578
0.23500000000000018,0.010420164378441621
0.23600000000000018,0.010175629739126196
0.23700000000000018,0.009932909994661919
0.23800000000000018,0.009692176183772362
0.23900000000000018,0.009453597166897719
0.24000000000000019,0.009217339431159953
0.2410000000000002,0.008983566895337428
0.2420000000000002,0.008752440714834962
0.2430000000000002,0.008524119086634849
0.2440000000000002,0.008298757054213464
0.2450000000000002,0.00807650631240834
0.2460000000000002,0.007857515012217278
0.2470000000000002,0.007641927565514489
0.2480000000000002,0.0074298844496647545
0.2490000000000002,0.007221522012018311
0.25000000000000017,0.007016972274268098
0.25100000000000017,0.0068163627366521
0.25200000000000017,0.00661981618198193
0.25300000000000017,0.006427450479481331
0.25400000000000017,0.0062393783884169066
0.25500000000000017,0.006055707361506034
0.25600000000000017,0.005876539348085914
0.2570000000000002,0.005701970597031571
0.2580000000000002,0.005532091459409624
0.2590000000000002,0.005366986190858153
0.2600000000000002,0.005206732753684898
0.2610000000000002,0.005051402618677203
0.2620000000000002,0.0049010605666207074
