time_s,right_foot_y_m,left_foot_y_m,com_y_m,dcm_y_m
0.0,-0.020723843452427403,0.07473059110184162,0.02673582517285327,0.06365601720768715
0.001,-0.020723864871526276,0.07473079533979207,0.02698412205578042,0.06358090704297398
0.002,-0.020723885916869855,0.07473099364019614,0.027230240022845516,0.06350528780344904
0.003,-0.020723906500466644,0.07473118622862074,0.027474190303938963,0.06342915603875161
0.004,-0.020723926583926446,0.07473137332087133,0.027715984030043814,0.06335250827513539
0.005,-0.020723946178538934,0.0747315551233808,0.027955632233743654,0.06327534101531007
0.006,-0.020723965344887487,0.07473173183358495,0.02819314584972602,0.06319765073828171
0.007,-0.020723984192049683,0.0747319036402847,0.02842853571528129,0.06311943389919208
0.008,-0.020724002876432116,0.07473207072399607,0.028661812570797182,0.06304068692915696
0.009000000000000001,-0.020724021600283433,0.07473223325728767,0.028892987060248846,0.06296140623510328
0.010000000000000002,-0.020724040609927073,0.07473239140510647,0.029122069731684474,0.06288158819960513
0.011000000000000003,-0.020724060193751268,0.0747325453250915,0.02934907103770665,0.06280122918071877
0.012000000000000004,-0.020724080679992356,0.0747326951678767,0.029574001335949212,0.06272032551181643
0.013000000000000005,-0.020724102434344187,0.0747328410773823,0.029796870889549926,0.06263887350141899
0.014000000000000005,-0.020724125857424378,0.07473298319109603,0.0300176898676187,0.06255686943302755
0.015000000000000006,-0.02072415138212641,0.0747331216403433,0.03023646834570165,0.0624743095649539
0.016000000000000007,-0.02072417947088411,0.07473325655054794,0.03045321630624077,0.062391190130149723
0.017000000000000008,-0.02072421061287316,0.07473338804148255,0.030667943639029454,0.06230750733603477
0.01800000000000001,-0.02072424532117357,0.0747335162275099,0.03088066014166372,0.06222325736432378
0.01900000000000001,-0.020724284129913617,0.07473364121781481,0.031091375519989257,0.06213843637085224
0.02000000000000001,-0.020724327591415903,0.07473376311662708,0.031300099388544306,0.062053040485401056
0.02100000000000001,-0.020724376273363564,0.07473388202343621,0.03150684127099835,0.061967065811519895
0.022000000000000013,-0.02072443075600345,0.07473399803319741,0.03171161060058662,0.0618805084263494
0.023000000000000013,-0.020724491629402146,0.07473411123652976,0.03191441672054058,0.06179336438044225
0.024000000000000014,-0.02072455949076835,0.07473422171990644,0.03211526888451418,0.061705629697582906
0.025000000000000015,-0.020724634941854805,0.074734329565838,0.032314176257006125,0.06161730037460619
0.026000000000000016,-0.020724718586450544,0.0747344348530476,0.032511147913778016,0.061528372381214676
0.027000000000000017,-0.0207248110279743,0.07473453765664025,0.032706192842268444,0.06143884165979468
0.028000000000000018,-0.02072491286717702,0.0747346380482644,0.03289931994200312,0.06134870412523127
0.02900000000000002,-0.020725024699961472,0.07473473609626811,0.03309053802500087,0.061257955664721746
0.03000000000000002,-0.020725147115325075,0.07473483186584826,0.0332798558161758,0.06116659213758807
0.03100000000000002,-0.020725280693430853,0.07473492541919428,0.0334672819537353,0.061074609375087865
0.03200000000000002,-0.02072542600381066,0.07473501681562597,0.03365282498957426,0.06098200318022424
0.03300000000000002,-0.02072558360370353,0.07473510611172632,0.03383649338966525,0.06088876932755427
