time_s,left_hip_yaw_rad,left_hip_roll_rad,left_hip_pitch_rad,left_knee_rad,left_ankle_rad,right_hip_yaw_rad,right_hip_roll_rad,right_hip_pitch_rad,right_knee_rad,right_ankle_rad
0.0,0.0032095179121291307,0.24428681951760986,-0.5303612122199078,1.1698600465035913,-0.6491140869674883,-0.0032558902828272243,-0.25445836389020704,0.5264307258212425,1.190486080690468,-0.668220358505577
0.001,0.0032265137025632258,0.24600187359202003,-0.5305983072016552,1.1703723055133657,-0.6493933616718338,-0.00324847704393812,-0.25273579889423325,0.5261517960650319,1.1899430971584295,-0.6679544386599873
0.002,0.003243369592057921,0.24770135393273052,-0.5308279601768939,1.1708681136927774,-0.6496636217597246,-0.003241134672485119,-0.2510281739507196,0.5258721416502731,1.1893976124112997,-0.667686772339883
0.003,0.00326008649897872,0.24938538115195702,-0.5310507765907954,1.1713485120609248,-0.6499253023003625,-0.003233865070216401,-0.24933598360190737,0.5255960821633837,1.1888587787613594,-0.6674221924073462
0.004,0.0032766653376861475,0.251054075286854,-0.531267341934182,1.171814508854627,-0.6501788255473453,-0.0032266699739087407,-0.24765968465343702,0.5253277661978883,1.1883353905144223,-0.6671653446601189
0.005,0.0032931070177018677,0.25270755570785314,-0.5314782219932761,1.1722670799599568,-0.6504246011200479,-0.003219550962465899,-0.24599969761369855,0.5250711731814002,1.1878358878421345,-0.6669206898803008
0.006,0.0033094124429044157,0.2543459410307949,-0.5316839630861434,1.1727071693326014,-0.6506630261871362,-0.0032125094638827388,-0.2443564081180839,0.5248301149393448,1.1873683601744631,-0.6666925056663672
0.007,0.0033255825107545555,0.25596934903281887,-0.5318850922877794,1.1731356894086002,-0.6508944856518206,-0.0032055467620615923,-0.24273016833447192,0.5246082370348859,1.1869405491848402,-0.6664848880815079
0.008,0.003341618111550196,0.25757789657197516,-0.532082117645664,1.1735535215068904,-0.6511193523384482,-0.0031986640034694204,-0.24112129834670457,0.5244090199225341,1.1865598514368545,-0.6663017531497009
0.009000000000000001,0.00335752012771075,0.25917169951050906,-0.5322755283874998,1.1739615162249706,-0.651337987180035,-0.003191862203626218,-0.23953008751321223,0.5242357799510732,1.1862333207580684,-0.6661468382294603
0.010000000000000002,0.003373289433090734,0.26075087264176805,-0.5324657951227371,1.1743604938288854,-0.6515507394063349,-0.0031851422534168177,-0.23795679579832196,0.5240916702496805,1.185967670403385,-0.6660237032938114
0.011000000000000003,0.003388926892322385,0.2623155296206737,-0.5326533700393917,1.1747512446386323,-0.6517579467320423,-0.0031785049252198248,-0.23640165507413197,0.5239796815294202,1.1857692750673603,-0.6659357321437055
0.012000000000000004,0.003404433360186982,0.2638657828976962,-0.5328386870975587,1.1751345294099909,-0.6519599355447273,-0.0031719508788488966,-0.23486487039116075,0.5239026428306257,1.1856441728018647,-0.6658861335807672
0.013000000000000005,0.0034198096810145497,0.2654017436562657,-0.5330221622209297,1.1755110797136885,-0.6521570210921057,-0.003165480667302843,-0.2333466212162806,0.5238632222450287,1.185598066892524,-0.6658779425639499
0.014000000000000005,0.003435056688111553,0.26692352175355194,-0.5332041934875322,1.1758815983127278,-0.6523495076682566,-0.003159094742322246,-0.23184706263672306,0.5238639276398261,1.185636327744358,-0.6659140213733262
0.015000000000000006,0.003450175203216185,0.26843122566453886,-0.533385161320814,1.1762467595386212,-0.6525376887984072,-0.003152793459751352,-0.2303663265291989,0.5239071074091828,1.185763994823965,-0.6659970608028676
0.016000000000000007,0.0034651660359807986,0.26992496242932057,-0.5335654286821085,1.176607209667208,-0.6527218474219236,-0.003146577084704945,-0.22890452269340963,0.5239949512769365,1.1859857787024353,-0.6661295814026351
0.017000000000000008,0.003480029983481025,0.2714048376035428,-0.53374534126543,1.1769635672946521,-0.6529022560731604,-0.0031404457965407808,-0.22746173994944066,0.5241294911724985,1.186306063239928,-0.666313934789324
0.01800000000000001,0.0034947678297510944,0.272870955211912,-0.5339252276954591,1.1773164237141613,-0.6530791770598474,-0.0031343996936388997,-0.22603804719871995,0.5243126022001171,1.1867289079494754,-0.666552305042561
0.01900000000000001,0.0035093803453448745,0.2743234177046958,-0.5341053997294927,1.1776663432939036,-0.6532528626387146,-0.0031284387979898212,-0.22463349444840203,0.5245460037197993,1.1872580505741002,-0.6668467102027532
0.02000000000000001,0.003523868286922115,0.2757623259171355,-0.5342861524640506,1.1780138638565425,-0.6534235551880881,-0.003122563059594199,-0.22324811379919482,0.5248312605562645,1.1878969099077594,-0.6671990038846269
0.02100000000000001,0.003538232396859396,0.2771877790316942,-0.5344677645467439,1.1783594970607598,-0.6535914873772176,-0.0031167723606770332,-0.22188192039678895,0.5251697843503431,1.188648588886949,-0.6676108770188863
0.022000000000000013,0.0035524734028852876,0.27859987454306395,-0.5346504983939282,1.1787037287850872,-0.653756882332135,-0.003111066519719962,-0.2205349133471753,0.525562835065235,1.189515877976055,-0.6680838597326636
0.023000000000000013,0.00356659201773919,0.2799987082258554,-0.5348346004145847,1.1790470195143228,-0.6539199537978782,-0.0031054452953155564,-0.21920707659624938,0.5260115226580261,1.1905012588657329,-0.6686193233776482
0.024000000000000014,0.003580588938853392,0.2813843741048969,-0.5350203012407903,1.1793898047287665,-0.6540809062969521,-0.003099908389847831,-0.2178983797741999,0.5265168089248277,1.1916069084997456,-0.669218482712969
0.025000000000000015,0.0035944648480578417,0.2827569644280701,-0.5352078159650588,1.1797324952964727,-0.6542399352839426,-0.003094455453003451,-0.21660877900526535,0.527079509525877,1.1928347034418587,-0.6698823982480874
0.026000000000000016,0.0036082204113071594,0.2841165696416109,-0.5353973443847627,1.1800754778686782,-0.6543972272962347,-0.0030890860851183577,-0.21533821768351893,0.5277002961949255,1.194186224590557,-0.6706119787491478
0.027000000000000017,0.003621856278429442,0.28546327836780905,-0.5355890712537654,1.1804191152785375,-0.6545529601008334,-0.00308379984036466,-0.21408662721540597,0.5283796991352642,1.19566276224559,-0.6714079839104455
0.028000000000000018,0.003635373082896404,0.2867971773850382,-0.5357831665413282,1.1807637469432612,-0.6547073028373227,-0.0030785962297828185,-0.21285392772981432,0.5291181096028064,1.1972653215266709,-0.67227102719092
0.02900000000000002,0.0036487714416144385,0.28811835161005445,-0.5359797856982836,1.1811096892697295,-0.6548604161570394,-0.003073474724164208,-0.21164002875650467,0.5299157826747887,1.198994628141102,-0.6732015788138899
0.03000000000000002,0.003662051954736184,0.2894268840825012,-0.536179069930406,1.181457236063624,-0.6550124523585787,-0.0030684347567892286,-0.2104448298737665,0.5307728402008647,1.200851134493689,-0.6741999689266214
0.03100000000000002,0.0036752152054922095,0.29072285595156183,-0.5363811464788457,1.181806658942101,-0.655163555519784,-0.003063475726026171,-0.20926822132619688,0.5316892739316879,1.2028350261290919,-0.6752663909147844
