time_s,left_foot_z_m
0.0,0.0025023845513543336
0.001,0.0025035554283275654
0.002,0.002504692418925522
0.003,0.002505796454745853
0.004,0.0025068684414222484
0.005,0.002507909259444687
0.006,0.002508919764947406
0.007,0.002509900790465293
0.008,0.0025108531456618753
0.009000000000000001,0.0025117776180278856
0.010000000000000002,0.002512674973553456
0.011000000000000003,0.0025135459573747652
0.012000000000000004,0.002514391294395315
0.013000000000000005,0.002515211689884271
0.014000000000000005,0.0025160078300522117
0.015000000000000006,0.0025167803826048364
0.016000000000000007,0.002517529997277109
0.017000000000000008,0.002518257306346843
0.01800000000000001,0.002518962925130066
0.01900000000000001,0.0025196474524584282
0.02000000000000001,0.002520311471139486
0.02100000000000001,0.0025209555484007364
0.022000000000000013,0.002521580236318096
0.023000000000000013,0.002522186072229593
0.024000000000000014,0.002522773579134968
0.025000000000000015,0.0025233432660818414
0.026000000000000016,0.002523895628538785
0.027000000000000017,0.002524431148756792
0.028000000000000018,0.002524950296118385
0.02900000000000002,0.0025254535274762714
0.03000000000000002,0.00252594128748114
0.03100000000000002,0.0025264140088994066
0.03200000000000002,0.0025268721129212794
0.03300000000000002,0.0025273160094605174
0.03400000000000002,0.002527746097444366
0.035000000000000024,0.0025281627650959905
0.036000000000000025,0.002528566390208861
0.037000000000000026,0.002528957340413751
0.03800000000000003,0.0025293359734381814
0.03900000000000003,0.0025297026373597084
0.04000000000000003,0.0025300576708518867
0.04100000000000003,0.002530401403424646
0.04200000000000003,0.00253073415565868
0.04300000000000003,0.0025310562394335046
0.04400000000000003,0.0025313679581508916
0.04500000000000003,0.0025316696069523567
0.046000000000000034,0.002531961472931773
0.047000000000000035,0.002532243835343652
0.048000000000000036,0.0025325169658059303
0.04900000000000004,0.0025327811284987164
0.05000000000000004,0.002533036580358406
0.05100000000000004,0.00253328357126794
0.05200000000000004,0.002533522344242447
0.05300000000000004,0.0025337531356114176
0.05400000000000004,0.002533976175196479
0.05500000000000004,0.0025341916864856408
0.05600000000000004,0.002534399886803866
0.057000000000000044,0.0025346009874800193
0.058000000000000045,0.002534795194010172
