time_s,left_hip_yaw_Nm,left_hip_roll_Nm,left_hip_pitch_Nm,left_knee_Nm,left_ankle_Nm,right_hip_yaw_Nm,right_hip_roll_Nm,right_hip_pitch_Nm,right_knee_Nm,right_ankle_Nm
0.0,0.13640201990027945,0.9786261647803959,-0.262995223470297,-1.160562882881894,0.07065244474003968,-0.203253295632321,-0.23299848379928212,-0.4141501423187053,-0.3556966732136402,0.35223793934874503
0.001,0.11778833869954222,0.9488298875858618,-0.24769410420597388,-1.123881189596451,0.07077122395048163,-0.17315415871945866,-0.23387021142643305,-0.2621797597185007,-0.1299049762391432,0.2084880392614275
0.002,0.10052357768893014,0.9028769921992835,-0.23158193197691457,-1.0854138546130805,0.07126672978770696,-0.14428862606212853,-0.21825592131382177,-0.11061053883654899,0.09759460682493376,0.06504238205899185
0.003,0.08483726199391019,0.8437768771533471,-0.21514903251397854,-1.046260238266819,0.07209663434395833,-0.1171741081666335,-0.18863088604019662,0.0374263920087782,0.3220533465981228,-0.07524078154368662
0.004,0.07067686178340689,0.7723972966586742,-0.19844982553628757,-1.0065029531496292,0.07324231970039846,-0.09177459661164078,-0.1458841950063523,0.18188709204887263,0.5432908470796735,-0.212329569264079
0.005,0.05801289132143961,0.6890905037862237,-0.18149247565557824,-0.9661633361940991,0.07470338149290945,-0.06806560094364189,-0.09038976248377972,0.3227335084668496,0.7611450855992521,-0.3461860762606387
0.006,0.04683595529069671,0.5937838277803937,-0.164247842517294,-0.9252117462696909,0.07649454859377153,-0.046033793421804636,-0.0220968023391519,0.4599308518922884,0.9754694287192499,-0.47676685713017014
0.007,0.037153500763074485,0.4860714606199731,-0.14665848788742378,-0.8835782814830055,0.0786424784638407,-0.02567629443185615,0.059378479194455935,0.5934451045486636,1.1861296571083504,-0.6040234662862167
0.008,0.0314228530665556,0.40299686030025966,-0.13753482594044497,-0.8488107028802976,0.0792195493863896,-0.012885808592723525,0.1169464623449834,0.7142211844610827,1.3966861278474922,-0.7247449675300536
0.009000000000000001,0.0312009781828839,0.3927095002329296,-0.14637523482860898,-0.8297492895023563,0.0758920273127498,-0.012726211392306,0.10241326576109083,0.8134974295329642,1.6098148068519913,-0.836004207835801
0.010000000000000002,0.030980713675882007,0.38253361209604086,-0.15507178193167998,-0.8111712391905939,0.0725349172524472,-0.012567384812947151,0.08848367359532411,0.9100720409631229,1.8172883925661505,-0.9444336463278222
0.011000000000000003,0.030762598915377373,0.3724614717862901,-0.16361620624102394,-0.7930805547915138,0.06915092339130233,-0.012409091924573519,0.07514375637942705,1.0038766600833666,2.0189700259359866,-1.0499673353068926
0.012000000000000004,0.03054736480830314,0.36248091123040893,-0.17199992536839132,-0.7754805079049882,0.06574282457827778,-0.0122511893476265,0.06238426852722401,1.0948431199215383,2.2147236658521465,-1.1525398452682343
0.013000000000000005,0.030335899482118046,0.3525761709700017,-0.18021414109159511,-0.7583737043572643,0.06231347870153002,-0.012093617567909888,0.05019984430762581,1.1829041223104522,2.4044153785658686,-1.2520868732376944
0.014000000000000005,0.03012921483099882,0.3427287144852763,-0.1882499412178556,-0.7417621506723941,0.058865825798435745,-0.011936391023787388,0.03858822599882383,1.2679938838282856,2.587914573660092,-1.3485458254104705
0.015000000000000006,0.029928413995312854,0.33291800395823024,-0.1960983975827018,-0.7256473211600148,0.0554028898786284,-0.011779588011491642,0.027549524951527737,1.350048748640889,2.765095182015643,-1.4418563719393827
0.016000000000000007,0.028504902031127127,0.20741065726189947,-0.17806834033594413,-0.6865471375205812,0.05880587117480984,-0.0011397508165507245,0.13286047611336016,1.4517220196113674,2.9278681210949835,-1.5390836797149092
0.017000000000000008,0.028360471965008675,0.20026881660447549,-0.18616377543166313,-0.6719611713618336,0.055148985262992584,-0.0012641258234240824,0.1203110528021421,1.526937170388477,3.092248982641858,-1.6257383653264068
0.01800000000000001,0.028221773061364988,0.19302868017706018,-0.1940332075124681,-0.6578638916990419,0.05148936528521575,-0.001380848469653341,0.10841082716247841,1.5989568062340604,3.249969422840153,-1.709087143016983
