time_s,right_foot_x_m,left_foot_x_m,com_x_m,dcm_x_m
0.0,-0.029640193595289605,-0.03099809974564563,-0.029661090284845752,-0.029640210588798076
0.001,-0.029640193554196205,-0.030998048496525,-0.029660918786457807,-0.0296310203861503
0.002,-0.029640185130005492,-0.03099799853933366,-0.02966068636376066,-0.029621767894986707
0.003,-0.029640151658753607,-0.03099794984233335,-0.029660393006149303,-0.02961245269313388
0.004,-0.029640076817732883,-0.030997902374585763,-0.0296600387002384,-0.02960307435555705
0.005,-0.0296399446241734,-0.030997856105916856,-0.02965962342986165,-0.02959363245434066
0.006,-0.02963973943375857,-0.0309978110068836,-0.02965914717607106,-0.029584126558668898
0.007,-0.02963944593898682,-0.03099776704874362,-0.029658609917136085,-0.02957455623480598
0.008,-0.02963904916739007,-0.030997724203427557,-0.029658011628542633,-0.029564921046076404
0.009000000000000001,-0.029638534479620417,-0.03099768244351314,-0.02965735228299194,-0.029555220552845
0.010000000000000002,-0.02963788756741516,-0.03099764174220224,-0.02965663185039934,-0.029545454312496885
0.011000000000000003,-0.029637094451449235,-0.03099760207329931,-0.029655850297892875,-0.02953562187941726
0.012000000000000004,-0.029636141479086234,-0.03099756341119215,-0.0296550075898118,-0.029525722804971073
0.013000000000000005,-0.029635015322035347,-0.030997525730834113,-0.029654103687704967,-0.029515756637482564
0.014000000000000005,-0.029633702973924276,-0.030997489007728186,-0.029653138550329056,-0.029505722922214633
0.015000000000000006,-0.02963219174779582,-0.030997453217912294,-0.029652112133646703,-0.02949562120134812
0.016000000000000007,-0.029630469273536183,-0.03099741833794629,-0.029651024390824482,-0.029485451013960887
0.017000000000000008,-0.029628523495243156,-0.03099738434489995,-0.029649875272230775,-0.029475211896006805
0.01800000000000001,-0.029626342668540882,-0.03099735121634244,-0.029648664725433514,-0.029464903380294585
0.01900000000000001,-0.029623915357848914,-0.030997318930332494,-0.029647392695197766,-0.029454524996466433
0.02000000000000001,-0.029621230433611548,-0.030997287465409744,-0.029646059123483236,-0.029444076270976623
0.02100000000000001,-0.029618277069495033,-0.030997256800586983,-0.029644663949441603,-0.02943355672706986
0.022000000000000013,-0.029615044739557138,-0.030997226915342985,-0.029643207109413757,-0.029422965884759556
0.023000000000000013,-0.029611523215396424,-0.03099719778961626,-0.02964168853692688,-0.0294123032608059
0.024000000000000014,-0.029607702563285848,-0.030997169403799034,-0.02964010816269143,-0.029401568368693832
0.025000000000000015,-0.029603573141296198,-0.03099714173873236,-0.029638465914597963,-0.029390760718610832
0.026000000000000016,-0.029599125596414033,-0.030997114775700784,-0.029636761717713844,-0.029379879817424563
0.027000000000000017,-0.02959435086165879,-0.030997088496428113,-0.029634995494279847,-0.029368925168660402
0.028000000000000018,-0.029589240153203564,-0.03099706288307319,-0.029633167163706585,-0.029357896272478746
0.02900000000000002,-0.029583784967503034,-0.0309970379182257,-0.029631276642570845,-0.02934679262565224
0.03000000000000002,-0.0295779770784321,-0.030997013584902314,-0.029629323844611775,-0.029335613721542784
0.03100000000000002,-0.02957180853443919,-0.03099698986654297,-0.029627308680726952,-0.029324359050078446
0.03200000000000002,-0.029565271655716367,-0.03099696674700709,-0.029625231058968318,-0.029313028097730173
0.03300000000000002,-0.029558359031389026,-0.03099694421056949,-0.02962309088453798,-0.029301620347488355
0.03400000000000002,-0.029551063516728256,-0.030996922241916632,-0.029620888059783884,-0.02929013527883925
0.035000000000000024,-0.029543378230386736,-0.03099690082614275,-0.02961862248419537,-0.029278572367741215
0.036000000000000025,-0.029535296551660276,-0.03099687994874523,-0.029616294054398567,-0.02926693108660082
0.037000000000000026,-0.029526812117777017,-0.030996859595620572,-0.029613902664151696,-0.02925521090424875
0.03800000000000003,-0.029517918821214406,-0.030996839753059596,-0.029611448204340213,-0.029243411285915583
0.03900000000000003,-0.029508610807045386,-0.030996820407742584,-0.029608930562971824,-0.02923153169320738
0.04000000000000003,-0.029498882470314253,-0.030996801546734138,-0.029606349625171387,-0.02921957158408113
0.04100000000000003,-0.029488728453442428,-0.03099678315747767,-0.029603705273175664,-0.02920753041282001
0.04200000000000003,-0.029478143643664627,-0.030996765227789817,-0.02960099738632795,-0.029195407630008493
0.04300000000000003,-0.029467123170494536,-0.030996747745854196,-0.029598225841072565,-0.029183202682507264
0.04400000000000003,-0.02945566240322085,-0.030996730700215372,-0.02959539051094922,-0.029170915013428
0.04500000000000003,-0.02944375694843216,-0.030996714079771823,-0.029592491266587244,-0.02915854406210795
0.046000000000000034,-0.029431402647571075,-0.030996697873769328,-0.029589527975699685,-0.029146089264084348
0.047000000000000035,-0.02941859557451595,-0.030996682071793617,-0.029586500503077266,-0.02913355005106867
0.048000000000000036,-0.02940533203319022,-0.030996666663762735,-0.02958340871058222,-0.029120925850920694
0.04900000000000004,-0.029391608555197988,-0.030996651639919638,-0.02958025245714199,-0.029108216087622395
0.05000000000000004,-0.029377421897485267,-0.030996636990823775,-0.02957703159874279,-0.029095420181251677
0.05100000000000004,-0.029362769040025508,-0.030996622707343182,-0.029573745988423036,-0.02908253754795589
0.05200000000000004,-0.029347647183528325,-0.030996608780645765,-0.029570395476266637,-0.02906956759992521
0.05300000000000004,-0.02933205374717123,-0.030996595202191023,-0.02956697990939615,-0.029056509745365798
0.05400000000000004,-0.029315986366352333,-0.030996581963720838,-0.029563499131965817,-0.029043363388472822
0.05500000000000004,-0.029299442890463167,-0.030996569057251046,-0.029559952985154448,-0.029030127929403248
